task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
178	3a/d4d954	5843775	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR17866820)	COMPLETED	0	2026-03-23 14:38:06.351	1m 5s	0ms	17.1%	4.6 MB	11.9 MB	2.8 MB	10.5 KB
158	53/13d1df	5843776	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR27320660)	COMPLETED	0	2026-03-23 14:38:06.370	1m 5s	0ms	16.9%	4.7 MB	12 MB	2.7 MB	10.5 KB
169	4f/04b794	5843777	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR17866818)	COMPLETED	0	2026-03-23 14:38:06.390	1m 5s	0ms	20.3%	6.2 MB	12.2 MB	2.7 MB	10.5 KB
176	e0/6a4622	5843778	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR27320659)	COMPLETED	0	2026-03-23 14:38:06.427	1m 5s	0ms	14.5%	6.2 MB	12.2 MB	2.8 MB	10.5 KB
180	13/438ead	5843779	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR17866821)	COMPLETED	0	2026-03-23 14:38:06.445	1m 5s	0ms	17.7%	6.3 MB	12.2 MB	2.7 MB	10.5 KB
175	56/ff9022	5843780	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR17866822)	COMPLETED	0	2026-03-23 14:38:06.465	1m 5s	0ms	16.4%	4.6 MB	12 MB	2.6 MB	10.4 KB
125	07/3206be	5843708	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR17866821)	COMPLETED	0	2026-03-23 14:31:39.276	7m 42s	6m 26s	439.6%	16 GB	16.9 GB	14.2 GB	27.8 MB
161	9a/7591d6	5843766	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR17866822)	COMPLETED	0	2026-03-23 14:38:06.183	1m 20s	17s	90.6%	6.6 MB	220.9 MB	1.2 GB	6.9 KB
154	14/106a0f	5843763	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR27320655)	COMPLETED	0	2026-03-23 14:38:06.128	1m 20s	15s	95.6%	6.6 MB	220.9 MB	1.2 GB	6.9 KB
159	05/c4892d	5843764	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR27320660)	COMPLETED	0	2026-03-23 14:38:06.148	1m 25s	22s	63.2%	6.6 MB	220.9 MB	1.2 GB	6.9 KB
