sample,fastq_1,fastq_2,strandedness,condition
SRR17866846,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866846_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866846_2.fastq.gz,reverse,normal_eocrc
SRR17866847,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866847_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866847_2.fastq.gz,reverse,tumor_eocrc
SRR17866848,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866848_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866848_2.fastq.gz,reverse,normal_eocrc
SRR17866849,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866849_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866849_2.fastq.gz,reverse,tumor_eocrc
SRR17866850,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866850_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866850_2.fastq.gz,reverse,normal_eocrc
SRR17866851,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866851_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866851_2.fastq.gz,reverse,tumor_eocrc
SRR17866852,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866852_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866852_2.fastq.gz,reverse,normal_eocrc
SRR17866853,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866853_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866853_2.fastq.gz,reverse,tumor_eocrc
SRR17866854,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866854_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866854_2.fastq.gz,reverse,normal_eocrc
SRR17866855,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866855_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866855_2.fastq.gz,reverse,tumor_eocrc
SRR17866856,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866856_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866856_2.fastq.gz,reverse,normal_eocrc
SRR17866857,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866857_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866857_2.fastq.gz,reverse,tumor_eocrc
SRR17866858,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866858_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR17866858_2.fastq.gz,reverse,normal_eocrc
SRR27320655,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320655_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320655_2.fastq.gz,reverse,normal_locrc
SRR27320656,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320656_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320656_2.fastq.gz,reverse,tumor_locrc
SRR27320657,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320657_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320657_2.fastq.gz,reverse,normal_locrc
SRR27320658,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320658_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320658_2.fastq.gz,reverse,tumor_locrc
SRR27320659,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320659_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320659_2.fastq.gz,reverse,normal_locrc
SRR27320660,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320660_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320660_2.fastq.gz,reverse,tumor_locrc
SRR27320661,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320661_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320661_2.fastq.gz,reverse,normal_locrc
SRR27320662,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320662_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320662_2.fastq.gz,reverse,tumor_locrc
SRR27320663,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320663_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320663_2.fastq.gz,reverse,normal_locrc
SRR27320664,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320664_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320664_2.fastq.gz,reverse,tumor_locrc
SRR27320665,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320665_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320665_2.fastq.gz,reverse,normal_locrc
SRR27320666,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320666_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320666_2.fastq.gz,reverse,tumor_locrc
SRR27320667,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320667_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320667_2.fastq.gz,reverse,normal_locrc
SRR27320668,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320668_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320668_2.fastq.gz,reverse,tumor_locrc
SRR27320669,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320669_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320669_2.fastq.gz,reverse,normal_locrc
SRR27320670,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320670_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320670_2.fastq.gz,reverse,tumor_locrc
SRR27320671,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320671_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320671_2.fastq.gz,reverse,normal_locrc
SRR27320672,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320672_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320672_2.fastq.gz,reverse,tumor_locrc
SRR27320673,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320673_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320673_2.fastq.gz,reverse,normal_locrc
SRR27320674,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320674_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320674_2.fastq.gz,reverse,tumor_locrc
SRR27320675,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320675_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320675_2.fastq.gz,reverse,normal_locrc
SRR27320676,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320676_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320676_2.fastq.gz,reverse,tumor_locrc
SRR27320677,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320677_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320677_2.fastq.gz,reverse,normal_locrc
SRR27320678,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320678_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320678_2.fastq.gz,reverse,tumor_locrc
