Sample	Chromosome X	Chromosome Y
SRR17866817	2397190.0	104769.0
SRR17866818	924674.0	46010.0
SRR17866819	1622636.0	109919.0
SRR17866820	1309962.0	94337.0
SRR17866821	1706552.0	153286.0
SRR17866822	975257.0	72169.0
SRR27320655	837394.0	40998.0
SRR27320656	2658539.0	106978.0
SRR27320657	1439378.0	122483.0
SRR27320658	1160246.0	86538.0
SRR27320659	1182353.0	73387.0
SRR27320660	1494471.0	84156.0
