Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
SRR17866817_1	116.0	114.0	112.0	139.0	197.0	233.5	333.0	426.5	559.0	692.5	1043.5	1823.5	2668.5	4207.0	5610.0	7946.0	9964.5	13895.5	21249.5	27621.0	36504.0	47268.0	65201.5	79745.0	102091.0	146015.5	182228.0	226844.5	276309.0	338793.0	387531.0	456785.0	584857.0	670932.0	778185.5	897834.5	1017922.0	1138019.0	1249558.5	1373744.5	1447911.0	1531733.5	1592058.0	1636282.0	1685862.0	1743951.5	1765169.0	1700625.0	1656914.5	1646775.5	1665537.0	1687472.5	1701531.0	1694937.0	1565948.0	1420003.5	1370349.5	1315218.0	1259888.0	1181295.5	1095136.5	1018784.0	888436.0	781853.0	700599.0	633285.5	556264.0	487021.0	427152.5	324152.5	266236.0	221507.0	173310.5	142883.5	113893.5	87757.5	54685.5	40127.5	31850.0	22804.5	17668.5	13433.0	9931.5	4705.0	2334.5	1663.5	962.0	619.5	289.5	186.5	83.0	52.0	46.5	41.0	45.0	49.0	109.0	99.0	29.0	14.5	0.0
SRR17866817_1_val_1	140.0	148.5	184.5	244.5	310.0	370.0	493.5	621.5	825.0	1021.5	1506.5	2301.5	3291.5	4939.0	6646.0	9718.5	12274.5	16701.0	23824.0	31978.0	40983.0	53690.5	74449.5	91418.5	115512.5	156037.0	204218.5	253225.0	302402.5	368495.5	423461.5	501890.5	616630.0	705965.5	820902.5	956498.5	1070219.5	1192932.0	1315405.5	1405335.5	1484532.0	1563069.5	1602271.5	1642518.0	1720598.0	1772478.5	1760188.5	1711540.0	1668973.0	1668148.5	1687763.0	1685935.5	1682656.0	1664202.0	1545966.0	1410362.5	1349294.0	1296256.5	1236827.0	1157008.5	1066506.5	987472.0	887889.5	771527.5	688270.5	619096.0	532204.0	462522.0	402039.0	322723.0	265853.0	219865.0	166403.0	135155.5	106870.0	78112.5	54512.0	40721.0	31660.5	21663.5	16869.5	13296.5	9051.0	5063.0	2756.0	1855.0	994.5	615.0	275.5	153.0	87.5	58.5	51.5	42.5	47.5	53.0	110.5	100.5	30.5	14.5	0.0
SRR17866817_2	88.0	116.5	145.0	163.5	232.5	291.0	375.5	453.5	599.0	743.5	1078.5	1743.5	2317.0	3392.0	4312.0	5997.0	7662.5	11244.0	17330.5	22095.0	28534.0	36208.5	50922.5	63721.5	85200.5	126940.0	164191.5	213688.5	263515.5	323772.0	373319.5	453183.5	603622.5	707783.5	807328.5	900183.5	971724.5	1050527.0	1143518.0	1266476.0	1351162.0	1426474.0	1501861.0	1589225.0	1655129.0	1653892.0	1632335.0	1608537.0	1630618.5	1653017.5	1661525.5	1681732.5	1641013.5	1565953.5	1504714.5	1437937.0	1386016.0	1350555.0	1315626.0	1242973.0	1160739.0	1086629.5	965266.0	874327.5	806597.0	733549.5	653133.5	583321.5	516030.5	399637.5	333234.5	284674.0	229936.5	193204.5	161005.0	132963.0	91730.0	70887.0	56841.0	42242.0	34087.5	27141.0	21344.0	12413.5	8131.5	6172.5	4135.0	3144.5	2175.0	1849.0	1469.5	1307.0	1200.5	1094.5	1099.0	1104.0	1142.5	1508.0	1836.0	4705.0	7574.0
SRR17866817_2_val_2	142.0	177.0	231.0	276.0	348.0	426.5	533.0	621.0	815.0	1018.0	1413.5	2032.0	2714.0	3953.5	5162.0	7384.5	9538.0	13414.0	18964.5	24997.5	32062.0	41109.5	58203.0	74614.0	99232.5	139382.5	186321.5	234771.0	287341.0	359251.5	412402.0	502533.0	640119.5	743233.5	838850.5	938612.0	1020267.0	1098585.0	1198036.0	1302212.5	1392783.0	1475818.5	1567603.5	1640884.0	1668503.5	1657433.0	1630424.0	1622654.5	1639479.0	1676609.5	1699956.0	1666369.0	1605943.5	1553635.5	1502728.0	1439230.5	1381570.0	1342455.0	1284244.5	1204356.5	1132453.5	1059935.0	965145.0	858243.0	782457.5	719258.0	633440.0	559295.5	490212.0	394963.0	330013.5	283089.5	222584.5	186212.5	156482.0	123148.0	92086.0	71916.0	56791.5	40901.0	32105.5	25723.0	19650.5	12945.0	8494.0	6268.5	3960.5	2887.5	1902.0	1485.0	1198.5	1016.5	888.5	779.5	762.5	763.5	828.5	1094.0	1953.0	5313.0	8037.0
SRR17866818_1	58.0	60.0	62.0	97.0	137.0	144.5	213.0	279.0	327.5	376.0	579.0	1008.0	1498.5	2391.0	3147.5	4844.0	6477.5	8922.5	13812.5	18480.5	23971.5	29759.5	40789.5	50246.0	62554.5	88842.5	112482.0	143829.5	180150.5	223699.5	256399.0	302894.0	396436.5	464176.0	547232.5	639435.5	741113.5	847534.5	948117.0	1046603.5	1103051.5	1175425.5	1229800.0	1270137.0	1297258.0	1328377.0	1346919.0	1298438.5	1255318.0	1241804.0	1270278.0	1303772.5	1321661.0	1323931.0	1210173.0	1085464.5	1048211.5	998004.5	951794.0	887193.5	815539.0	758767.0	662139.5	580242.5	520565.5	471831.5	411916.5	358503.5	313571.5	240636.0	201846.5	168254.0	130473.0	106885.5	85229.5	64402.0	39713.0	29954.5	26585.0	22850.5	16158.5	9970.0	7818.0	3772.0	1372.0	962.0	535.0	364.5	202.0	157.0	105.0	80.0	59.5	39.0	48.0	57.0	95.5	87.0	40.0	20.0	0.0
SRR17866818_1_val_1	77.0	86.5	124.5	192.5	239.0	263.5	329.5	386.5	485.5	592.5	866.0	1311.5	1960.0	3042.0	4073.5	6174.5	8039.0	10889.5	15376.5	20868.0	26784.0	33641.0	45943.5	56671.0	70589.0	95451.0	129657.0	164524.5	196535.5	239934.5	276578.5	333803.0	420998.0	489539.0	579771.0	682855.0	777606.5	896721.0	1007225.5	1068532.5	1123483.5	1199242.0	1239112.5	1266997.5	1324783.0	1356848.5	1342254.0	1302922.5	1261368.5	1257223.0	1289494.5	1309910.5	1312734.5	1294038.0	1198336.5	1085394.5	1029790.5	984652.5	928036.5	861734.0	796997.0	739116.5	662833.5	572841.5	510334.0	461502.0	395660.5	340657.0	294826.5	238520.5	201110.5	167905.0	125751.5	101649.0	79439.5	56265.5	39623.5	30479.5	24029.5	19440.0	17599.0	11688.5	6496.0	4401.0	2816.0	1550.0	575.5	369.5	201.0	151.0	114.0	82.0	60.5	39.0	44.0	53.0	95.5	89.0	39.5	19.5	0.0
SRR17866818_2	54.0	57.0	60.0	81.0	123.5	146.5	197.5	247.5	312.0	376.0	562.0	940.0	1286.5	1901.0	2416.5	3461.0	4499.5	7006.0	11004.5	13628.5	17215.0	21857.5	30240.5	37333.5	49245.0	74115.0	97646.5	130761.5	164514.5	204896.5	238453.5	295233.0	407399.0	494087.0	584514.5	663325.5	723130.0	793237.5	871993.5	972221.5	1041912.0	1102050.0	1163650.0	1241903.0	1297210.0	1288554.0	1267912.0	1247342.0	1257274.0	1271995.0	1285232.5	1311144.0	1282721.5	1219846.5	1156729.5	1092593.0	1050823.0	1015710.5	977679.0	913871.5	849709.5	799271.0	708670.0	637560.0	586710.5	530058.5	470879.5	420456.0	375534.5	295557.0	248361.5	211994.5	169136.0	141496.0	117340.5	96293.5	67113.0	52559.0	41757.5	30563.5	24729.5	19398.0	14742.5	8333.0	5556.0	4246.0	2904.5	2373.5	1828.0	1638.0	1336.5	1148.0	1024.0	900.0	914.5	927.5	948.5	1147.5	1324.0	3208.5	5093.0
SRR17866818_2_val_2	103.0	106.5	122.0	157.0	197.5	228.5	290.0	344.5	434.0	528.0	764.0	1146.5	1565.0	2242.5	2889.0	4300.5	5723.0	8464.0	12088.5	15414.0	19396.5	24804.5	34423.5	43603.5	58012.0	82175.5	112778.0	145219.0	180063.5	229512.0	265844.5	329616.0	434618.0	524877.5	611133.0	697436.5	766864.0	830416.5	915165.5	1003987.5	1074282.5	1141261.0	1222904.0	1285431.0	1307998.0	1296006.0	1268048.5	1255943.5	1261480.5	1294526.5	1321615.5	1297577.0	1252800.0	1202494.0	1143290.5	1088508.5	1045141.0	1005765.5	950550.0	884675.0	827348.0	777577.5	710573.5	628099.0	570159.5	520121.0	454815.5	402914.0	358819.0	295037.0	248251.0	210785.0	162950.0	135427.5	113404.5	89296.0	67704.5	53325.0	41377.0	29438.5	23729.0	18411.0	13163.0	8656.0	5832.0	4326.0	2795.5	2171.5	1583.0	1311.0	1083.0	902.5	763.0	647.0	644.5	610.0	631.0	815.5	1460.0	3717.5	5474.0
SRR17866819_1	95.0	102.0	109.0	134.0	195.0	236.5	346.0	451.0	577.5	703.0	1061.0	1882.0	2912.0	4543.0	5727.5	8136.5	10536.5	16295.5	25534.5	30994.5	39456.0	51006.0	69512.0	84376.0	102363.0	138904.5	171572.5	210683.0	252514.0	306538.5	347143.5	399167.5	503506.0	576943.0	658384.0	747261.5	827172.5	909100.5	1008787.0	1126321.5	1192616.5	1270263.5	1337653.5	1386155.0	1435745.0	1502115.0	1550967.5	1526986.5	1533906.0	1558009.5	1577987.0	1593460.5	1599879.0	1603878.0	1570431.5	1502322.0	1444146.0	1404091.5	1370974.0	1314443.5	1254141.0	1190194.0	1060682.0	948948.5	857236.5	776053.5	678625.0	588238.0	516003.5	390063.0	315612.0	266095.0	210933.5	171502.0	134604.0	100857.5	60010.0	43369.5	31512.0	18779.0	13273.0	8979.0	6526.0	3074.0	1472.0	1064.0	622.5	397.5	188.0	134.0	70.5	42.0	40.5	39.0	47.0	55.0	119.0	120.0	57.0	28.5	0.0
