Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR17866817_1	25.093720597677986	9.2602208085249	5.145837419660166	3.6161785644391076	2.6409636486125065	2.0166676578553844	1.7229371731639156	1.3934958214374138	1.2091444700009562	14.629192054700182	5.07049936712161	12.614765369254446	5.352214697295983	8.691292165332008	1.2333543720436055	0.3095158128795819
SRR17866817_1_val_1	26.21575602922986	9.257412417803433	5.10088064875198	3.584124138746954	2.6301473875377117	1.9855813796549833	1.6977714412319636	1.3723915483226392	1.1940262419947083	14.449857574880006	5.016923103371776	12.4252533498433	5.217666412199749	8.358480731020494	1.227432672330773	0.26629492307992897
SRR17866817_2	29.49943710493813	9.657402897671865	5.354454261635707	3.5827232913607716	2.4925362689039976	1.995823543122742	1.6066725473846128	1.2631687180395292	1.1166661915381209	13.013358324664747	5.041745398726035	12.683576312055608	4.748062914933484	7.105760921821407	0.7184924604483857	0.12011884275466049
SRR17866817_2_val_2	30.70576544520012	9.625176148177477	5.2678433185383975	3.536653994507285	2.4773074783899545	1.9594750292708907	1.5574820715554862	1.255926356993883	1.1127035722433998	12.875837487367885	4.966674152167464	12.429723559946716	4.606454508260964	6.837628083080038	0.6664592240058742	0.1188895702941504
SRR17866818_1	23.42126278369452	8.629375324448144	4.7920053657546635	3.3794479656356278	2.5467991511328014	2.016834497711475	1.6431070127279388	1.4421938477420766	1.2097572931200606	16.292026412717316	5.925952829702053	12.851337335398652	4.894895382711395	8.785505339852168	1.8469472303332235	0.32255222731786004
SRR17866818_1_val_1	24.53557887440663	8.610646195995256	4.771147040501836	3.367441794013638	2.536151089381196	1.9863925454875375	1.664276095094031	1.4104633783186917	1.2159881083760935	16.111555822323368	5.850259058584372	12.61513799205769	4.825641566506124	8.42505345867599	1.7572471256127127	0.31701985466509974
SRR17866818_2	27.411172044881454	8.895974812753792	4.968540514241595	3.281475360481222	2.469512157390621	1.9480595867402046	1.6256502984037815	1.3636663961955149	1.2096456107997609	15.536637288593377	5.688831843142215	12.002536253822178	4.593702254608272	8.06798316078944	0.8581939248790567	0.07841849227745698
SRR17866818_2_val_2	28.730051302152106	8.794835808588664	4.94623057582749	3.1922762903927917	2.4456398315622683	1.9223417406524987	1.65334914180877	1.3429473142271053	1.1900835397947174	15.34041524256371	5.61493765246832	11.71923093789772	4.504106385684574	7.78036637204724	0.745680335291805	0.07750752904009432
SRR17866819_1	25.347794777167877	8.8257112118213	5.000708227728716	3.2858396042773013	2.580495531527686	2.0172027460171416	1.7003726991526544	1.396759986307202	1.3220405040389631	16.858089524786994	6.861659048489904	15.853207258690283	4.901892364472631	3.961672500731448	0.08655401479004199	0.0
SRR17866819_1_val_1	26.431105849590725	8.820553974261607	4.959231730338565	3.253466628527564	2.580253365633899	1.9852191137599773	1.7020327492548848	1.4175411932451296	1.2771267254719296	16.642963493740044	6.780297719136899	15.530379666450658	4.784190899506326	3.750299452915247	0.08533743816638846	0.0
