task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
43	8c/08bdac	5925243	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR27320656)	ABORTED	-	2026-03-26 08:45:30.589	-	-	-	-	-	-	-
65	0a/3730f8	5925281	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOI (tumor_eocrc-normal_eocrc)	ABORTED	-	2026-03-26 08:46:34.624	-	-	-	-	-	-	-
66	e7/ac7c60	5925282	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOI (tumor_locrc-normal_locrc)	ABORTED	-	2026-03-26 08:46:38.608	-	-	-	-	-	-	-
68	35/f94b21	5925283	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOE (tumor_locrc-normal_locrc)	ABORTED	-	2026-03-26 08:47:17.593	-	-	-	-	-	-	-
67	a8/913b60	5925284	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOE (tumor_eocrc-normal_eocrc)	ABORTED	-	2026-03-26 08:47:17.615	-	-	-	-	-	-	-
26	97/225049	5925326	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR17866817)	ABORTED	-	2026-03-26 08:48:08.623	-	-	-	-	-	-	-
70	86/2d365d	5925351	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR17866821)	ABORTED	-	2026-03-26 08:48:22.117	-	-	-	-	-	-	-
34	78/64d776	5925354	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR17866818)	ABORTED	-	2026-03-26 08:48:29.577	-	-	-	-	-	-	-
72	f0/619d9d	5925362	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR27320659)	ABORTED	-	2026-03-26 08:48:48.630	-	-	-	-	-	-	-
50	e1/104d42	5925364	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR27320660)	ABORTED	-	2026-03-26 08:48:52.625	-	-	-	-	-	-	-
74	14/af3062	5925365	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR17866820)	ABORTED	-	2026-03-26 08:49:04.630	-	-	-	-	-	-	-
75	1d/b4212f	5925396	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866822)	ABORTED	-	2026-03-26 08:49:45.048	-	-	-	-	-	-	-
80	da/52f7a2	5925428	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320659)	ABORTED	-	2026-03-26 08:51:00.616	-	-	-	-	-	-	-
82	49/7c71c6	5925433	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866820)	ABORTED	-	2026-03-26 08:51:12.621	-	-	-	-	-	-	-
86	69/98d715	5925439	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866821)	ABORTED	-	2026-03-26 08:51:20.623	-	-	-	-	-	-	-
