"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","switchConsequencesGene"
"110568","isoComp_00001664","geneComp_00000111","ENST00000337334.7","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","protein_coding",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.366118670700148,0.384473758589014,0.340949718198492,0.2024271945267,0.0756438215092442,-0.168664986299985,NA,0.16315641025641,0.071995,0.181694117647059,0.109699117647059,0.998788637329574,0.417522478001228,FALSE,0,NA
"110569","isoComp_00001665","geneComp_00000111","ENST00000353130.5","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","protein_coding",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.161802853981806,0.373378776502149,0.0818958794623308,0.237864296060315,0.0409611521163687,-2.06069839415434,NA,0.0540230769230769,0.08114,0.0579647058823529,-0.0231752941176471,0.999823392026522,0.417522478001228,FALSE,0,NA
"110570","isoComp_00001666","geneComp_00000111","ENST00000382029.7","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","nonsense_mediated_decay",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.293405538167823,0.300987251813737,0.469283334317818,0.164344344916506,0.135924507203003,0.624023333610669,NA,0.115416666666667,0.081885,0.167611764705882,0.0857267647058823,0.976409708602108,0.417522478001228,TRUE,0,NA
"110572","isoComp_00001668","geneComp_00000111","ENST00000554241.5","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","protein_coding_CDS_not_defined",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.0333003204492106,0.0220154758263754,0.0323132417678384,0.0084959181784778,0.00849596395106872,0.402339767909148,NA,0.0350935897435897,0.061635,0.0134823529411765,-0.0481526470588235,0.998788637329574,0.417522478001228,NA,0,NA
"110573","isoComp_00001669","geneComp_00000111","ENST00000554566.5","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","protein_coding_CDS_not_defined",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.593218354787919,1.04288394633646,0.0156208165683756,0.397901020193519,0.00948653193265774,-5.36088615752531,NA,0.0961,0.186075,0.0107058823529412,-0.175369117647059,0.417522478001228,0.417522478001228,NA,0,NA
"110574","isoComp_00001670","geneComp_00000111","ENST00000555292.1","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","protein_coding_CDS_not_defined",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.803458378674677,0.837231732705688,1.16255812384917,0.323227903317062,0.232284938209895,0.468830908095765,NA,0.373987179487179,0.3728,0.498882352941176,0.126082352941176,0.44876301302506,0.417522478001228,NA,0,NA
"110575","isoComp_00001671","geneComp_00000111","ENST00000556857.5","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","protein_coding_CDS_not_defined",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.296182451403767,0.167114679442659,0.0145160465195895,0.130152377631893,0.0145160465195895,-2.8528855365033,NA,0.0693166666666667,0.033135,0.00599411764705882,-0.0271408823529412,0.998788637329574,0.417522478001228,NA,0,NA
"110576","isoComp_00001672","geneComp_00000111","ENST00000557345.5","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","nonsense_mediated_decay",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.0142694093480102,0.0232026743854117,0.00316212329373829,0.0208840289961159,0.00316212329373829,-1.33490721020695,NA,0.0163666666666667,0.022965,0.00243529411764706,-0.0205297058823529,0.999823392026522,0.417522478001228,TRUE,0,NA
"110577","isoComp_00001673","geneComp_00000111","ENST00000942103.1","ABHD12B","tumor_eocrc","normal_eocrc","ABHD12B","protein_coding","protein_coding",2.97003933027403,3.78864749885845,2.1348868186147,1.35628616321817,0.404810868603001,-0.824584319580273,NA,0.389162611103839,0.585872492995505,0.00288646663654028,0.285796348969308,0.00288646663654028,-5.53107500259423,NA,0.0735410256410256,0.083535,0.0588235294117647,-0.0247114705882353,0.981301414953138,0.417522478001228,FALSE,0,NA
"180960","isoComp_00002154","geneComp_00000144","ENST00000361737.9","ABLIM2","tumor_eocrc","normal_eocrc","ABLIM2","protein_coding","protein_coding",5.63007631348506,5.25233154525168,5.32982648335616,0.635618804492279,0.798717729962792,0.0210907163845882,NA,0.274208740449984,0.359996365884628,0.0835821455309739,0.0879155265777197,0.0212807759073832,-1.98320589017244,NA,0.0485616279069767,0.0668809523809524,0.0216666666666667,-0.0452142857142857,0.917558424609077,0.104322554896821,FALSE,0,NA
"180961","isoComp_00002155","geneComp_00000144","ENST00000407564.7","ABLIM2","tumor_eocrc","normal_eocrc","ABLIM2","protein_coding","protein_coding",5.63007631348506,5.25233154525168,5.32982648335616,0.635618804492279,0.798717729962792,0.0210907163845882,NA,0.242228626009619,0.385297441592827,0.161407546555062,0.0777249473030626,0.0441599604890403,-1.20550798957041,NA,0.0474197674418605,0.0825,0.0377809523809524,-0.0447190476190476,0.947154588817227,0.104322554896821,FALSE,0,NA
"180962","isoComp_00002156","geneComp_00000144","ENST00000428004.6","ABLIM2","tumor_eocrc","normal_eocrc","ABLIM2","protein_coding","protein_coding",5.63007631348506,5.25233154525168,5.32982648335616,0.635618804492279,0.798717729962792,0.0210907163845882,NA,0.884684953283964,1.20532276138268,0.346946588850064,0.194257643988187,0.0427371539913903,-1.76755939079625,NA,0.159608139534884,0.223352380952381,0.0873333333333333,-0.136019047619048,0.133832035920872,0.104322554896821,FALSE,0,NA
"180965","isoComp_00002159","geneComp_00000144","ENST00000504172.1","ABLIM2","tumor_eocrc","normal_eocrc","ABLIM2","protein_coding","retained_intron",5.63007631348506,5.25233154525168,5.32982648335616,0.635618804492279,0.798717729962792,0.0210907163845882,NA,0.086449816037463,0.126907315668298,0.0457010818254422,0.0472390750396001,0.0212532357384924,-1.29742228638982,NA,0.0147848837209302,0.0195619047619048,0.0179190476190476,-0.00164285714285714,0.998788637329574,0.104322554896821,NA,0,NA
"180966","isoComp_00002160","geneComp_00000144","ENST00000505872.5","ABLIM2","tumor_eocrc","normal_eocrc","ABLIM2","protein_coding","protein_coding",5.63007631348506,5.25233154525168,5.32982648335616,0.635618804492279,0.798717729962792,0.0210907163845882,NA,0.320202889425995,0.299246000008959,0.187805673350216,0.07920668028905,0.0402517723403945,-0.644671129304398,NA,0.061356976744186,0.062152380952381,0.0472619047619048,-0.0148904761904762,0.998788637329574,0.104322554896821,FALSE,0,NA
