task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
277	1d/c0cccf	5779706	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866836)	COMPLETED	0	2026-03-19 23:05:40.091	2m 4s	1m 3s	99.2%	76.7 MB	80 MB	2.5 GB	3.3 KB
261	50/38114f	5779682	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320690)	COMPLETED	0	2026-03-19 23:03:24.082	4m 25s	2m 31s	202.6%	5.3 GB	40.2 GB	3 GB	4.4 MB
276	f9/ba4d5c	5779702	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866820)	COMPLETED	0	2026-03-19 23:05:15.524	2m 34s	1m 10s	99.1%	76.5 MB	80.2 MB	2.7 GB	3.3 KB
275	ac/9cc787	5779703	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866825)	COMPLETED	0	2026-03-19 23:05:15.540	2m 34s	1m 6s	99.5%	76.8 MB	80.2 MB	2.6 GB	3.3 KB
263	f1/4aee7b	5779683	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320697)	COMPLETED	0	2026-03-19 23:03:24.106	4m 25s	2m 33s	201.2%	5.9 GB	40.3 GB	2.9 GB	4.4 MB
281	de/8cf9be	5779713	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866827)	COMPLETED	0	2026-03-19 23:06:20.095	1m 34s	1m 16s	98.4%	10.8 MB	14.5 MB	2.6 GB	70 MB
282	35/346e6d	5779715	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866819)	COMPLETED	0	2026-03-19 23:06:20.128	1m 34s	1m 15s	98.2%	10.7 MB	14.4 MB	2.5 GB	70.1 MB
131	14/d5212c	5779321	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866837)	COMPLETED	0	2026-03-19 22:39:04.140	28m 50s	26m 59s	149.0%	723.5 MB	4.8 GB	46.1 GB	44 GB
279	fc/b6188b	5779712	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866821)	COMPLETED	0	2026-03-19 23:06:20.076	1m 39s	1m 20s	98.0%	10.7 MB	14.3 MB	2.6 GB	71.6 MB
280	17/df425f	5779714	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866817)	COMPLETED	0	2026-03-19 23:06:20.112	1m 39s	1m 17s	98.2%	10.8 MB	14.5 MB	2.6 GB	70 MB
260	11/3475ce	5779680	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR27320693)	COMPLETED	0	2026-03-19 23:02:59.065	5m 10s	2m 51s	204.9%	6.3 GB	40.2 GB	2.8 GB	4.4 MB
110	8b/e669c8	5779261	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866832)	COMPLETED	0	2026-03-19 22:37:39.257	30m 47s	29m 2s	149.4%	702 MB	4.9 GB	49.6 GB	47.3 GB
107	39/732d6b	5779257	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866829)	COMPLETED	0	2026-03-19 22:37:39.195	30m 55s	29m 13s	149.4%	634.5 MB	4.8 GB	49.7 GB	47.4 GB
293	b9/831f40	5779730	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866817)	COMPLETED	0	2026-03-19 23:08:00.073	49s	36s	220.1%	18.2 GB	21.3 GB	17 GB	2.1 MB
292	dc/a304d1	5779731	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866821)	COMPLETED	0	2026-03-19 23:08:00.092	49s	35s	225.3%	18.2 GB	21.3 GB	17 GB	2.1 MB
290	2a/12837b	5779727	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866819)	COMPLETED	0	2026-03-19 23:07:55.091	1m 9s	52s	150.6%	18.2 GB	21.3 GB	17 GB	2.1 MB
291	a0/aaa538	5779729	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866837)	COMPLETED	0	2026-03-19 23:07:55.131	1m 24s	1m 10s	99.1%	76.4 MB	80.2 MB	2.7 GB	3.3 KB
284	6b/e1f9f9	5779720	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866826)	COMPLETED	0	2026-03-19 23:07:09.127	2m 15s	1m 12s	99.0%	76.5 MB	80.2 MB	2.8 GB	3.3 KB
